Modality_ID,Modality_Name,Category,Invasive_vs_Noninvasive,Typical_Target,Delivery_Method,Common_Use_Cases,Evidence_Notes,Regulatory_Notes,Safety_Questions,Review_Status
MOD-001,rTMS (Repetitive Transcranial Magnetic Stimulation),Brain Stimulation,Noninvasive,"Cortical regions (primarily DLPFC, but also motor cortex, TPJ, mPFC, OFC depending on indication)","Electromagnetic coil placed on scalp; figure-8, H-coil, or circular coil designs; clinic-based delivery requiring trained operator",Treatment-resistant depression (primary); OCD; smoking cessation; migraine (acute); anxiety (emerging); PTSD (emerging); chronic pain (emerging); stroke rehabilitation (emerging),"Guideline-supported for depression (APA, CANMAT, NICE). 10Hz left DLPFC and iTBS protocols have strongest evidence base. FDA clearances exist for depression, OCD, smoking cessation, migraine, and anxious depression. Evidence varies significantly by condition.","Multiple FDA-cleared devices (NeuroStar, BrainsWay, MagVenture, others). Clearance is indication-specific — a device cleared for depression is not automatically cleared for other conditions. EU CE marking also indication-dependent.","Seizure risk (rare but most serious); headache; scalp discomfort; contraindicated with metallic implants near coil, cochlear implants, cardiac pacemakers; screening questionnaire required (Rossi et al. safety guidelines); medication review for seizure threshold",Reviewed
MOD-002,iTBS (Intermittent Theta Burst Stimulation),Brain Stimulation,Noninvasive,Left DLPFC (primary for depression); other cortical targets under investigation,Patterned TMS delivery: bursts of 3 pulses at 50Hz repeated at 5Hz theta rhythm; significantly shorter session time (~3 min vs 37 min for standard rTMS); delivered via TMS devices with iTBS capability,Treatment-resistant depression (primary); may be applied to other TMS indications under investigation,"Guideline-supported for depression based on THREE-D trial (Blumberger et al., 2018, Lancet) showing non-inferiority to standard 10Hz rTMS. CANMAT 2024 update supports iTBS. Shorter session duration is major practical advantage.","Delivered via FDA-cleared TMS systems that include iTBS protocols. FDA clearance for depression exists for devices offering iTBS (e.g., MagVenture). Same regulatory framework as rTMS.",Same safety profile as rTMS; seizure risk similar; shorter sessions may improve tolerability; same contraindication screening required,Reviewed
MOD-003,tDCS (Transcranial Direct Current Stimulation),Brain Stimulation,Noninvasive,"Cortical regions via electrode placement (DLPFC, motor cortex, others depending on protocol)","Low-amplitude direct current (typically 1-2 mA) delivered via sponge or rubber electrodes on scalp; anode placement increases cortical excitability, cathode decreases; sessions typically 20-30 minutes; some home-use devices available",Depression (moderate evidence); chronic pain (moderate evidence); stroke rehabilitation (emerging); cognitive enhancement (emerging); ADHD (emerging); fibromyalgia (emerging),"Literature-supported for depression and pain per European expert guidelines (Lefaucheur et al., 2017; updated 2024). Not yet guideline-supported at APA/CANMAT level for most indications. Evidence quality varies by condition. Large RCTs (e.g., ELECT trial) showed mixed results for depression.",Very few tDCS devices have specific FDA clearance for clinical indications. Most devices are marketed as investigational or wellness devices. Check device-specific regulatory status carefully. Some CE-marked devices in EU.,Generally well-tolerated; skin irritation/burns at electrode site; phosphenes; headache; itching; tingling; no seizures reported at standard parameters; electrode placement accuracy critical; contraindicated with metallic implants in current path,Reviewed
MOD-004,tACS (Transcranial Alternating Current Stimulation),Brain Stimulation,Noninvasive,"Cortical regions; targets depend on frequency used (e.g., alpha entrainment for posterior regions)",Alternating current at specific frequencies delivered via scalp electrodes; aims to entrain endogenous neural oscillations; typically low intensity (1-2 mA peak-to-peak),Sleep enhancement (alpha/theta entrainment); cognitive research; pain modulation (emerging); depression (experimental); tinnitus (experimental),"Primarily experimental/research. Limited clinical evidence for most applications. Some promising findings for sleep and tremor, but insufficient for clinical guidelines. Active research area.",No specific FDA clearances for clinical indications known. Research device classification. Check individual device status.,Similar safety profile to tDCS; skin sensations; phosphenes (particularly at retinal frequencies); theoretical seizure risk at higher intensities; limited long-term safety data,Reviewed
MOD-005,CES (Cranial Electrotherapy Stimulation),Brain Stimulation,Noninvasive,Transcranial application via ear-clip or forehead electrodes,Pulsed microcurrent applied via ear-clip electrodes or adhesive electrodes; subsensory to mild sensory current levels; typically home-use devices; session durations 20-60 minutes,Insomnia; anxiety; depression; pain (all per device-specific FDA clearances where applicable),"Literature-supported for anxiety and insomnia based on published studies. Evidence quality debated. Alpha-Stim has largest evidence base among CES devices. Some systematic reviews supportive, others note methodological limitations.","Alpha-Stim: FDA cleared (510(k)) for anxiety, insomnia, depression, and pain. Fisher Wallace: FDA cleared (510(k)) for depression, anxiety, insomnia. CES device regulatory history is complex — historical FDA reclassification issues. Device-specific clearances vary.",Generally well-tolerated; headache; skin irritation at electrode sites; dizziness (rare); very low seizure risk; relatively few serious adverse events reported; medication interactions not well-studied,Reviewed
MOD-006,taVNS (Transcutaneous Auricular Vagus Nerve Stimulation),Neuromodulation,Noninvasive,"Auricular branch of vagus nerve (cymba conchae of external ear, tragus)","Electrical stimulation applied to ear via clip or adhesive electrode targeting vagal afferent nerve branches; parameters vary (typically 0.5-5 mA, 20-30 Hz); home-use devices available",Depression (emerging); epilepsy (emerging); tinnitus (emerging); pain (emerging); autonomic regulation (emerging); inflammation modulation (research),Emerging evidence across multiple conditions. Several RCTs published but limited guideline inclusion. NICE evidence review for depression conducted. Mechanism via vagal afferent pathway is plausible but optimal parameters not established.,Limited specific FDA clearances for taVNS devices for clinical indications. Some devices CE-marked in EU. Regulatory landscape evolving. Do not confuse with implanted VNS (different regulatory pathway).,Relatively safe; ear discomfort; skin irritation; cough reflex (vagal); dizziness; headache (mild); caution with cardiac arrhythmias; avoid in patients with implanted vagal nerve stimulators,Reviewed
MOD-007,VNS (Vagus Nerve Stimulation — Implanted),Neuromodulation,Invasive (surgical implant),Left cervical vagus nerve via implanted electrode,Surgically implanted pulse generator (chest) connected to electrode wrapped around left vagus nerve; programmable stimulation parameters; continuous or duty-cycle delivery,"Drug-resistant epilepsy (primary, FDA approved); treatment-resistant depression (FDA approved); cluster headache (gammaCore — noninvasive variant)","Guideline-supported for drug-resistant epilepsy (strong Level I evidence, multiple RCTs). FDA approved (PMA) for epilepsy and treatment-resistant depression (LivaNova VNS Therapy). gammaCore (noninvasive VNS) FDA cleared for cluster headache and migraine.","LivaNova VNS Therapy: FDA approved (PMA) for epilepsy (1997) and treatment-resistant depression (2005). gammaCore: FDA cleared (510(k)/De Novo) for cluster headache, migraine. Different regulatory pathways for implanted vs noninvasive devices.",Surgical risks (implantation); voice alteration; cough; dyspnea; neck pain; dysphagia; risk of infection at implant site; device-specific MRI compatibility constraints; cardiac monitoring during implantation,Reviewed
MOD-008,DBS (Deep Brain Stimulation),Brain Stimulation,Invasive (surgical implant),"Deep brain nuclei: STN, GPi (Parkinson's); VIM (essential tremor); anterior limb of internal capsule (OCD); ANT (epilepsy)",Surgically implanted electrodes in deep brain targets connected to implantable pulse generator (chest); programmable stimulation; requires stereotactic neurosurgical procedure and neuroimaging guidance,Parkinson's disease (FDA approved); essential tremor (FDA approved); dystonia (FDA approved under HDE); epilepsy (FDA approved); OCD (FDA approved under HDE); Tourette syndrome (research/emerging),"Guideline-supported for Parkinson's disease, essential tremor, and dystonia (Level I evidence, major society guidelines). Strong evidence base from large RCTs. OCD use under HDE with growing evidence. Epilepsy (ANT-DBS) FDA approved based on SANTE trial.","Multiple FDA-approved systems: Medtronic (PMA for PD, ET, dystonia, epilepsy, OCD-HDE); Abbott/St. Jude (PMA for PD, ET); Boston Scientific (PMA for PD, ET). HDE pathway for OCD and dystonia. EU CE marking for additional indications.","Surgical risks: hemorrhage, infection, hardware complications; stimulation side effects depend on target (speech, gait, mood changes); requires ongoing programming; battery replacement surgery; MRI compatibility varies by system; not reversible (electrode placement)",Reviewed
MOD-009,TPS (Transcranial Pulse Stimulation),Brain Stimulation,Noninvasive,Cortical and deeper brain structures (claimed deeper penetration than TMS),Focused ultrasound pulses delivered via handheld applicator; single ultrashort pulses; neuronavigation-guided; clinic-based; Neurolith device (Storz Medical),Alzheimer's disease / cognitive impairment (primary investigation); depression (research); other neurological conditions (early research),"Emerging evidence. CE-marked in EU for Alzheimer's disease treatment. Initial RCTs (e.g., Beisteiner et al., 2020) showed cognitive improvement in AD patients. Larger confirmatory trials ongoing. Not yet guideline-supported.",Neurolith (Storz Medical): CE-marked in EU. NOT FDA cleared in US as of current review. US clinical trials may be ongoing. Do not claim FDA status without verification.,Reported as well-tolerated; mild headache; sensation during treatment; limited long-term safety data; ultrasound energy safety parameters under study; thermal effects theoretical concern at higher intensities,Reviewed
MOD-010,Neurofeedback (EEG Biofeedback),Biofeedback,Noninvasive,"EEG-derived cortical activity patterns; targets vary by protocol (e.g., SMR, theta/beta ratio, alpha asymmetry, SCP, z-score training, LORETA-based)",Real-time EEG recording with operant conditioning feedback; patient learns to modulate brain activity toward target patterns; clinic or home-based depending on system; typical sessions 30-45 minutes; requires multiple sessions (20-40+),ADHD (most studied); depression; anxiety; insomnia; epilepsy; peak performance; PTSD; TBI/concussion; autism (limited); tinnitus (limited),"CRITICAL EVIDENCE NUANCE: Evidence varies dramatically by condition and protocol type. For ADHD: recent meta-analyses (Cortese et al., 2016 and updates through 2025) show effects diminish substantially in probably-blinded assessments. Standard protocols (theta/beta, SMR, SCP) show limited signal on blinded outcomes. For epilepsy: some supportive evidence for SCP training. For depression: alpha asymmetry training has preliminary support but not guideline-level. Do NOT treat neurofeedback as universally proven across conditions.",Most neurofeedback systems are FDA-registered as biofeedback devices (Class II) with general intended use for relaxation or biofeedback. This is NOT the same as FDA clearance for specific clinical conditions. Marketing claims often exceed regulatory clearance scope. Check device-specific 510(k) intended use carefully.,Generally considered safe; headache; fatigue; transient mood changes; rare: anxiety or sleep disruption; evidence quality concerns around placebo/sham control adequacy; training effects may not persist long-term for all protocols,Reviewed
