resource_slug,paper_id,title,kind,year,topical_tags,status,summary,analyzer_use,agent_use
qeeg-course-research-library,paper-427fe710ca3d,1 MEDICATION TABLE FOR 5 HALF LIFES 7/28/2023,reference_sheet,2041,psychopharmacology | artifact | gamma,extracted,"1 MEDICATION TABLE FOR 5 HALF LIFES 7/28/2023 TRADE, GENERIC, CHEMICAL DETOX 5-HTP 5-HYDROXTRYPTOPHAN 2 DAYS a-LIPOIC ACID ALPHA LIPOIC ACID 4 HOURS ABILIFY ARIPIPRAZOLE 30 DAYS ACAMPROSATE CALCIUM CAMPRAL 7 DAYS ACCUPRIL QUINAPRIL NO DETOX ACCUTANE ISOTRETINOIN 16 DAYS ACETAMINOPHEN 15 HOURS ACIPHEX RABEPRAZOLE 10 HOURS ACTIFED 2 DAYS ACTONEL RISEDRONATE 8 HOURS ACTOS PIOGLITAZONE HCL 5 DAYS ACYCLOVIR ZOVIRAX 20 HOURS ADDERALL 2 DAYS ADIPEX 3 DAYS ADVICOR NIACIN EXT RELEASE & LOVASTATIN 1 DAY ADVIL 10 HOURS ADVAIR 2 DAYS AFRIN 1 DAY AGENERACE 3 DAYS AGGRENOX ...","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-1ec75a5e7096,"Article Summary:Delorme, A, Palmer, J, Onton, J, Oosterveld, R, Makeig, S. (2012) Independent EEG SourcesAre Dipolar. PLoSOne 7(2): 30135. Doi: 10.1371/journal.pone.0030135",article_summary,2021,artifact,extracted,"Article Summary:Delorme, A, Palmer, J, Onton, J, Oosterveld, R, Makeig, S. (2012) Independent EEG SourcesAre Dipolar.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-25c6d5b68e3d,"Article Summary:Li, B. J., Friston, K., Mody, M., Wang, H. N., Lu, H. B., & Hu, D. W. (2018). A brain network model fordepression: From symptom understanding to disease interven...",article_summary,2018,artifact | connectivity | reporting,extracted,"Article Summary:Li, B. J., Friston, K., Mody, M., Wang, H.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-c270f19f37ba,Archival Report,research_pdf,2015,artifact | connectivity | autism | reading | reporting,extracted,"Archival Report Diffusion Tensor Imaging Provides Evidence of Possible Axonal Overconnectivity in Frontal Lobes in Autism Spectrum Disorder Toddlers Stephanie Solso, Ronghui Xu, James Proudfoot, Donald J. Hagler Jr., Kathleen Campbell, Vijay Venkatraman, Cynthia Carter Barnes, Clelia Ahrens-Barbeau, Karen Pierce, Anders Dale, Lisa Eyler, and Eric Courchesne ABSTRACT BACKGROUND: Theories of brain abnormality in autism spectrum disorder (ASD) have focused on under- connectivity as an explanation for social, language, and behavioral deﬁcits but are based mainly on studies of older autistic children and adults.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-97635902f932,"Article Summary:Solso, S., Xu, R., Proudfoot, J., Hagler, D. J., Campbell, K., Venkatraman, V., … Courchesne, E.(2015). Diffusion Tensor imaging provides evidence of possible Ax...",article_summary,2015,artifact | connectivity | autism | reporting,extracted,"Article Summary:Solso, S., Xu, R., Proudfoot, J., Hagler, D. J., Campbell, K., Venkatraman, V., … Courchesne, E.(2015).",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-0a26a67ab0cd,"Article Summary:Thornton, K. (2014). A QEEG activation methodology which obtains 100% accuracy in thediscrimination traumatic brain injured from normal and does the learning dis...",article_summary,2014,artifact | connectivity | reading | reporting,extracted,"Article Summary:Thornton, K. (2014).",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-1f6982d2cb7f,NeuroRegulation,research_pdf,2014,artifact | connectivity | adhd | gamma | reading | neurofeedback | reporting,extracted,NeuroRegulation 209 | NeuroRegulation Vol. 1(3-4):209-218 2014 doi:10.15540/nr.1.3-4.209 http://www.neuroregulation.org A QEEG Activation Methodology That Obtained 100% Accuracy in the Discrimination of Traumatic Brain Injured from Normal and Does the Learning Disabled Show the Brain Injury Pattern?,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-4b4bb5b7b296,"Article Summary:Machado, C., Estévez, M., Leisman, G., Melillo, R., Rodríguez, R., DeFina, P., … Beltrán, C.(2013). QEEG spectral and coherence assessment of autistic children i...",article_summary,2013,artifact | connectivity | autism | gamma | reporting,extracted,"Article Summary:Machado, C., Estévez, M., Leisman, G., Melillo, R., Rodríguez, R., DeFina, P., … Beltrán, C.(2013). QEEG spectral and coherence assessment of autistic children in three differentexperimental conditions.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-a98eba2dc449,ORIGINAL PAPER,research_pdf,2013,psychopharmacology | artifact | connectivity | adhd | autism | gamma | reading | reporting,extracted,"ORIGINAL PAPER QEEG Spectral and Coherence Assessment of Autistic Children in Three Different Experimental Conditions Calixto Machado • Mario Este´vez • Gerry Leisman • Robert Melillo • Rafael Rodrı´guez • Phillip DeFina • Adria´n Herna´ndez • Jesu´sP e´rez-Nellar • Rolando Naranjo • Mauricio Chinchilla • Nicola´s Garo´falo • Jose´ Vargas • Carlos Beltra´n Published online: 19 September 2013 /C211 The Author(s) 2013. This article is published with open access at Springerlink.com Abstract We studied autistics by quantitative EEG spectral and coherence analysis during three experimental conditions: basal, watching a cartoon ...","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-ef23fc6b6b1a,The electroencephalography of encephalopathy in patients with,research_pdf,2013,psychopharmacology | artifact | adhd | dementia | reading | reporting,extracted,"The electroencephalography of encephalopathy in patients with endocrine and metabolic disorders Roland Faigle, MD, PhD1,*, Raoul Sutter, MD1,2, and Peter W. Kaplan, MB, BS, FRCP1,2 1Department of Neurology, Johns Hopkins Bayview Medical Center, Baltimore, Maryland, USA 2Division of Neurosciences Critical Care, Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA Abstract Patients with acute alteration in mental status from encephalopathy due to underlying metabolic- toxic or endocrine abnormalities are frequently seen in the acute hospital setting.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
