Phenotype_ID,Symptom_or_Phenotype_Name,Domain,Description,Associated_Conditions,Possible_Target_Regions,Candidate_Modalities,Evidence_Level,Assessment_Inputs_Needed,Review_Status
PHE-001,Left Frontal Hypoactivity,Mood / Neural Activity,"Reduced left prefrontal cortical activity relative to right, associated with depressive symptoms and reduced approach motivation. Often identified on qEEG as frontal alpha asymmetry.",MDD; TRD; Anhedonia,Left DLPFC (F3),rTMS (excitatory); iTBS; tDCS (anode left DLPFC),Guideline-supported (for MDD protocol targeting),qEEG; frontal alpha asymmetry assessment; PHQ-9,Reviewed
PHE-002,Rumination-Dominant Depression,Mood / Cognitive,Persistent repetitive negative thinking; self-focused attention; difficulty disengaging from negative content. May involve overactive default mode network.,MDD; TRD; GAD,Left DLPFC; default mode network modulation,rTMS; iTBS; Neurofeedback (alpha asymmetry),Literature-supported,PHQ-9; RRS (Ruminative Response Scale); cognitive assessment,Reviewed
PHE-003,Anhedonic Phenotype,Mood / Reward,Marked loss of interest and pleasure; reduced reward sensitivity; motivational deficits. Associated with ventral striatal hypoactivity.,MDD; TRD; Parkinson's (non-motor),Left DLPFC; ventral striatal circuits (indirectly via PFC),rTMS; iTBS; tDCS,Literature-supported,SHAPS (Snaith-Hamilton Pleasure Scale); MADRS anhedonia items; PHQ-9 items 1-2,Reviewed
PHE-004,High Arousal / Hypervigilance,Anxiety / Autonomic,Elevated physiological arousal; exaggerated startle response; hypervigilance to threat; sleep disruption; muscle tension. Often involves right PFC/amygdala overactivity.,PTSD; GAD; Insomnia; Panic disorder,Right DLPFC (inhibitory); amygdala regulation,rTMS (inhibitory right DLPFC); CES; HRV biofeedback; Neurofeedback,Emerging-Literature-supported,GAD-7; PCL-5 hyperarousal cluster; HRV metrics; skin conductance,Reviewed
PHE-005,Executive Dysfunction,Cognitive,"Impairment in planning, working memory, cognitive flexibility, inhibitory control, and goal-directed behavior. Common across multiple neurological and psychiatric conditions.",ADHD; TBI; Depression; Parkinson's; Stroke,Prefrontal cortex (DLPFC bilateral); frontal-parietal network,tDCS (DLPFC); rTMS; Neurofeedback (theta/beta),Emerging,BRIEF-A/2; Trail Making Test B; Stroop; Digit Span; Wisconsin Card Sorting,Reviewed
PHE-006,Sleep Onset Difficulty,Sleep,Difficulty initiating sleep; prolonged sleep latency (>30 min); pre-sleep cognitive arousal; hyperarousal at bedtime.,Insomnia; Anxiety; Depression; PTSD,Frontal cortex; arousal circuits,CES (Alpha-Stim); tDCS (cathodal DLPFC); Neurofeedback (SMR),Emerging,ISI; sleep diary (SOL metric); PSQI; GAD-7,Reviewed
PHE-007,Sleep Maintenance Difficulty,Sleep,Frequent nighttime awakenings; difficulty returning to sleep; reduced sleep efficiency; fragmented sleep architecture.,Insomnia; Chronic pain; Depression; Menopause,Arousal circuits; cortical excitability,CES; tDCS (emerging); Neurofeedback (emerging),Emerging,"ISI; sleep diary (WASO, SE% metrics); PSQI; actigraphy if available",Reviewed
PHE-008,Autonomic Dysregulation,Autonomic / Physiological,Abnormal heart rate variability; excessive sympathetic tone; reduced parasympathetic function; somatic symptoms of anxiety.,PTSD; GAD; Fibromyalgia; Chronic fatigue; Autonomic neuropathy,Vagal pathways; autonomic centers,HRV biofeedback; taVNS; CES,Emerging,HRV assessment; blood pressure variability; tilt table if indicated; GAD-7,Reviewed
PHE-009,Inattention-Dominant ADHD,Attention / Executive,"Predominantly inattentive symptoms: difficulty sustaining attention, poor organization, forgetfulness, distractibility without significant hyperactivity.",ADHD (inattentive type); SCT (sluggish cognitive tempo),Left DLPFC; frontal-parietal attention network,Neurofeedback (theta/beta — NOT supported by blinded outcomes); tDCS (emerging); TMS (emerging),Emerging — NOT supported by blinded outcomes for NF,ASRS inattention subscale; Conners inattention scale; BRIEF; CPT,Reviewed
PHE-010,Hyperactive-Impulsive ADHD,Behavioral / Motor,"Predominantly hyperactive-impulsive symptoms: restlessness, fidgeting, difficulty waiting, impulsive decisions, interrupting.",ADHD (hyperactive-impulsive / combined type),Right inferior frontal gyrus; SMA; basal ganglia circuits,Neurofeedback (SMR — NOT supported by blinded outcomes); tDCS (emerging),Emerging — NOT supported by blinded outcomes for NF,ASRS hyperactivity subscale; Conners impulsivity scale; BRIEF inhibition scale,Reviewed
