asset_id,title,kind,relative_path,hydrated,pages,bytes,year,lead_author,topical_tags,analyzer_use,agent_use,note
paper-901a048af143,"Article Summary:Arns, M., de Ridder, S., Strehl, U., Breteler, M., & Coenen, A. (2009). Efficacy ofNeurofeedback treatment in ADHD: The effects on inattention, Impulsivity and H...",article_summary,Arns2009ArticleSummarydocx-220304-141834.pdf,True,1,178870,2009,Arns,psychopharmacology | artifact | adhd | neurofeedback | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Arns2009ArticleSummarydocx-220304-141834.pdf
paper-c09cd9bcfcf0,"Article Summary:Coben, R., & Padolsky, I. (2007). Assessment-guided Neurofeedback for autistic spectrumdisorder. Journal of Neurotherapy, 11(1), 5–23. doi:10.1300/j184v11n01_02",article_summary,Coben2007ArticleSummarydocx-220304-140152 - Copy.pdf,True,1,178394,2007,Coben,psychopharmacology | artifact | connectivity | autism | neurofeedback | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Coben2007ArticleSummarydocx-220304-140152 - Copy.pdf
paper-e9690ba2671d,Independent EEG Sources Are Dipolar,research_pdf,Delorme2012IndependentEEGSourcesAreDipolar-220304-135752.pdf,True,14,1326966,2012,Delorme,artifact | connectivity | gamma | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Delorme2012IndependentEEGSourcesAreDipolar-220304-135752.pdf
paper-1ec75a5e7096,"Article Summary:Delorme, A, Palmer, J, Onton, J, Oosterveld, R, Makeig, S. (2012) Independent EEG SourcesAre Dipolar. PLoSOne 7(2): 30135. Doi: 10.1371/journal.pone.0030135",article_summary,Delorme2021ArticleSummarydocx-220304-135742.pdf,True,1,175999,2021,Delorme,artifact,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Delorme2021ArticleSummarydocx-220304-135742.pdf
paper-9551c2ccdce1,Note,research_pdf,Dhar2010Reducedinterhemisphericcoherenceindyslexicadults-220304-135558.pdf,True,5,221321,2010,Dhar,artifact | connectivity | adhd | autism | reading | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Dhar2010Reducedinterhemisphericcoherenceindyslexicadults-220304-135558.pdf
paper-427fe710ca3d,1 MEDICATION TABLE FOR 5 HALF LIFES 7/28/2023,reference_sheet,DrugHalfLifeChartxlsSheet1-230728-120414 - Copy.pdf,True,18,96016,2041,DrugHalfLifeChartxlsSheet,psychopharmacology | artifact | gamma,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: DrugHalfLifeChartxlsSheet1-230728-120414 - Copy.pdf
paper-14e22eb5cbac,"Article Summary:Enoch, M.A., Shen, P.-H., Ducci, F., Yuan, Q., Liu, J., White, K. V., … Goldman, D. (2008).Common genetic origins for EEG, alcoholism and anxiety: The role of CR...",article_summary,Enoch2008ArticleSummarydocx-220304-142046.pdf,True,2,188085,2008,Enoch,artifact | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Enoch2008ArticleSummarydocx-220304-142046.pdf
paper-8fa7a9512fa7,"Common Genetic Origins for EEG, Alcoholism and",research_pdf,Enoch2008CommongeneticoriginsforEEGalcoholismandanxiety-220304-142053.pdf,True,11,511580,2008,Enoch,psychopharmacology | artifact | connectivity | dementia | gamma | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Enoch2008CommongeneticoriginsforEEGalcoholismandanxiety-220304-142053.pdf
paper-ef23fc6b6b1a,The electroencephalography of encephalopathy in patients with,research_pdf,Faigle 2013 - The electroencephalography of encephalopathy in patients with endocrine and metabolic disorders.pdf,True,25,3110513,2013,Faigle,psychopharmacology | artifact | adhd | dementia | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Faigle 2013 - The electroencephalography of encephalopathy in patients with endocrine and metabolic disorders.pdf
paper-19975f452d5b,Drug exposure and EEG/qEEG findings,research_pdf,Gunkelman2009DrugexposureandEEG_qEEGfindings-220304-141716 (1).pdf,True,6,178925,2009,Gunkelman,psychopharmacology | artifact | connectivity | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Gunkelman2009DrugexposureandEEG_qEEGfindings-220304-141716 (1).pdf
paper-70416e6eeeb2,"Article Summary:Gunkelman, J., (2009). Drug exposure and EEG/qEEG findings: A technical guide. Brain ScienceInternational. Pleasanton, CA",article_summary,Gunkelman2012ArticleSummarydocx-220304-141710.pdf,True,1,177208,2012,Gunkelman,psychopharmacology | artifact | connectivity | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Gunkelman2012ArticleSummarydocx-220304-141710.pdf
paper-9a691c77adcf,"Article Summary:Herrmann, C., & Demiralp, T. (2005). Human EEG gamma oscillations in neuropsychiatricdisorders. Clinical Neurophysiology, 116(12), 2719–2733. doi:10.1016/j.clinp...",article_summary,Herrmann2005ArticleSummarydocx-220304-135125.pdf,True,1,176839,2005,Herrmann,artifact | connectivity | adhd | dementia | gamma | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Herrmann2005ArticleSummarydocx-220304-135125.pdf
paper-af4b4928f089,Invited review,research_pdf,Herrmann2005HumanEEGgammaoscillationsinneuropsychiatricdisorders-220304-135132.pdf,True,15,332566,2005,Herrmann,psychopharmacology | artifact | connectivity | adhd | autism | dementia | gamma | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Herrmann2005HumanEEGgammaoscillationsinneuropsychiatricdisorders-220304-135132.pdf
