Region_ID,Region_Name,Abbreviation,Lobe,Depth,EEG_Position_10_20,Brodmann_Area,Primary_Functions,FNON_Network,Key_Conditions,Targetable_Modalities,Notes,Review_Status
BR-001,Dorsolateral PFC,DLPFC,Frontal,Cortical,"F3(L),F4(R)","BA9,46","Executive function, working memory, cognitive control, mood regulation","ECN, Salience, DMN","MDD, OCD, ADHD, Schizophrenia, MCI, PTSD, Addiction","TPS, TMS (primary), tDCS, tACS, PBM, LIFU, tRNS",Primary rTMS target for depression. L-DLPFC (F3). FNON: Alpha elevation + theta suppression.,Reviewed
BR-002,Ventromedial PFC,vmPFC,Frontal,Cortical,Fz/AFz,"BA10,11,25","Emotional valuation, reward learning, fear extinction, DMN self-reference","DMN, Limbic, Reward","MDD, PTSD, Anxiety, OCD, Addiction","TPS, tDCS, LIFU, Deep TMS (H1), tACS",Key DMN hub. Subgenual (Cg25) = DBS target for TRD. FNON: Theta suppression + alpha facilitation.,Reviewed
BR-003,Orbitofrontal Cortex,OFC,Frontal,Cortical,"Fp1/Fp2,F7/F8","BA11,12,13","Reward evaluation, impulse control, decision-making, emotional behaviour","Limbic, Reward","OCD, Addiction, Eating disorders, ADHD","TPS, tDCS, LIFU, Deep TMS",FNON: Beta suppression for impulsivity; OFC-amygdala loop target.,Reviewed
BR-004,Medial PFC,mPFC,Frontal,Cortical,Fz/AFz,"BA10,32","Self-referential processing, theory of mind, DMN anchor, prospective memory",DMN,"MDD (rumination), Autism, Schizophrenia","TPS, tDCS, tACS, Deep TMS, LIFU",Core DMN node. TPS Fz/AFz multi-site. FNON: Theta suppression for rumination.,Reviewed
BR-005,Inferior Frontal Gyrus,IFG,Frontal,Cortical,"F7(L=Broca),F8(R)","BA44,45,47","Language production (L-Broca), inhibitory control (R), semantic processing","Language, ECN","Aphasia, ADHD, OCD, Alzheimer's","TPS, TMS, tDCS, LIFU",TPS F7 = AD/MCI multi-site target. FNON: Beta facilitation (L) for language.,Reviewed
BR-006,Anterior Cingulate Cortex,ACC,Frontal/Limbic,Deep cortical,"Fz,AFz,Cz","BA24,32,33","Error monitoring, conflict detection, pain modulation, emotional regulation","Salience, Limbic, Pain","MDD, OCD, PTSD, Chronic pain, ADHD","TPS, Deep TMS (H7), tDCS, LIFU, tACS",dACC vs sgACC (Cg25) different targets. H7 coil reaches mPFC/ACC for OCD. FNON: Theta suppression.,Reviewed
BR-007,Supplementary Motor Area,SMA,Frontal,Cortical,"Fz,FCz",BA6,"Motor planning, movement sequencing, bimanual coordination, gait initiation",Sensorimotor,"Parkinson's, Dystonia, Stuttering","TPS, TMS, tDCS, tACS, PEMF",TPS PD protocol targets FCz. FNON: Beta suppression for PD; theta for sequencing.,Reviewed
BR-008,Primary Motor Cortex,M1,Frontal,Cortical,"C3(L),C4(R)",BA4,"Voluntary movement, corticospinal tract, motor homunculus",Sensorimotor,"PD, Stroke, Chronic pain, Dystonia, MS, TBI","TPS, TMS (rMT reference), tDCS, tACS, PBM, PEMF, tRNS",Motor threshold (rMT) reference. FNON: Contralateral target. Beta suppression for PD.,Reviewed
BR-009,Primary Somatosensory Cortex,S1,Parietal,Cortical,"C3/C4,CP3/CP4","BA1,2,3","Somatosensory processing, pain, tactile discrimination, proprioception","Sensorimotor, Pain","Chronic pain, Fibromyalgia, CRPS, Stroke sensory","TPS, TMS, tDCS, tACS, LIFU",LIFU landmark: Lee 2015 (356 cit) finger-level specificity. FNON: Gamma suppression for pain.,Reviewed
BR-010,Inferior Parietal Lobule,IPL,Parietal,Cortical,"P3/CP5(L),P4/CP6(R)","BA39,40","Attention, visuospatial, language (L=AG), working memory buffer","ECN, DMN, DAN","Alzheimer's, MCI, Hemineglect, Dyslexia","TPS, TMS, tDCS, tRNS, tACS",TPS AD/MCI protocol targets P3/P4. FNON: Alpha facilitation for MCI.,Reviewed
