Map_ID,Condition_ID,Condition_Name,Key_Symptoms,qEEG_Patterns,Key_qEEG_Electrode_Sites,Affected_Brain_Regions,Primary_Networks_Disrupted,Network_Dysfunction_Pattern,Recommended_Neuromod_Techniques,Primary_Stimulation_Targets,Stimulation_Rationale,Review_Status
QCM-001,COND-001,Depression (MDD),"Persistent sadness, anhedonia, fatigue, concentration difficulties, sleep disturbance, psychomotor retardation/agitation, suicidal ideation, appetite changes, guilt","↑ frontal theta (Fz), frontal alpha asymmetry (F3<F4 = ↓ L frontal activity), ↑ delta+theta, ↑ beta (eyes-open), ↓ alpha globally, ↑ theta/beta ratio (some subtypes), hyperconnectivity PLV/AEC, ↓ wPLI","F3, F4 (frontal asymmetry), Fp1/Fp2 (prefrontal slowing), Fz (midline theta), Cz (alpha/beta node), C4 (R centro-parietal AEC hyperconnectivity)","DLPFC (L: hypoactive), subgenual ACC/Cg25 (hyperactive), OFC, medial PFC, amygdala (hyperactive), hippocampus (↓ volume)","DMN (hyperactive/hyperconnected — rumination), CEN/Executive (hypoactive — poor executive control), Salience (impaired DMN↔CEN switching), Frontoparietal (↓ connectivity)",DMN fails to deactivate → persistent rumination; SN cannot switch CEN on to suppress DMN; L-DLPFC hypoactivity impairs top-down regulation,"rTMS 10 Hz L-DLPFC (F3); iTBS L-DLPFC; tDCS anode F3 cathode Fp2; taVNS left ear 25 Hz; CES 0.5 Hz; tACS 10 Hz alpha or 77.5 Hz; PBM 810 nm bilateral DLPFC; DBS SCC/Cg25, VC/VS, MFB","L-DLPFC (F3), subgenual ACC (Cg25), VC/VS, MFB",Excitatory L-DLPFC to counteract hypoactivity → restore CEN-DMN balance; inhibitory SCC/DBS to ↓ hyperactive subgenual ACC ruminative drive,Reviewed
QCM-002,COND-009,Alzheimer's Disease / Dementia,"Progressive memory loss, disorientation, language difficulties, visuospatial impairment, executive dysfunction, personality changes, agitation, wandering","Generalized slowing — ↑ theta + delta, ↓ alpha power, ↓ alpha peak frequency (<8 Hz), ↓ alpha/theta ratio, ↓ beta, ↑ theta/gamma ratio, loss of posterior dominant rhythm, ↓ complexity/entropy, ↑ inter-hemispheric delta coherence","Pz, P3, P4 (parietal slowing), O1/O2 (occipital alpha loss), T5/T6 (temporal theta), F3/F4 (frontal delta), C3/C4 (central slowing)","Hippocampus (atrophy), precuneus, posterior cingulate cortex, temporoparietal junction, DLPFC, IFG, entorhinal cortex","DMN (disrupted — ↓ connectivity in precuneus, PCC, lateral parietal), Salience (impaired), Frontoparietal/CEN (degraded), Cholinergic pathways (degenerated)",DMN hub failure (precuneus/PCC) → memory consolidation breakdown; cholinergic depletion → global slowing; CEN degradation → executive failure,TPS 0.20 mJ/mm² targeting DLPFC/precuneus/LPC/IFG; TMS 20 Hz bilateral DLPFC; tDCS anode temporal/DLPFC; tACS 40 Hz gamma bilateral temporal; PBM 810 nm 40 Hz DMN targeting; DBS fornix,"DLPFC (bilateral), precuneus, LPC, IFG, fornix (DBS), temporal cortex",Gamma entrainment (40 Hz) drives glymphatic clearance + gamma oscillatory synchrony restoration; DLPFC excitation to ↑ CEN; TPS/DBS fornix to facilitate hippocampal-cortical connectivity,Reviewed
QCM-003,COND-010,Parkinson's Disease,"Bradykinesia, rigidity, resting tremor, postural instability, gait freezing, cognitive decline, depression, REM sleep behavior disorder, autonomic dysfunction","↑ frontal/temporal theta, ↓ central beta, ↑ theta/alpha ratio, slowed posterior dominant frequency, ↑ delta, ↓ alpha peak frequency, theta at L temporal predicts cognitive decline, ↓ alpha/theta ratio correlates with cognitive impairment","C3/C4 (central beta ↓), F3/F4 (frontal theta ↑), T3/T5 (L temporal theta), Pz (posterior slowing), O1/O2 (PDR slowing)","STN (pathological beta synchrony), GPi, M1, SMA, DLPFC, PPN, cingulate motor area, putamen, caudate, substantia nigra (dopamine loss)","Motor/Basal ganglia-thalamocortical loop (disrupted — ↑ beta synchrony), Sensorimotor network (altered beta oscillations), Executive/Frontoparietal (impaired with cognitive decline), DMN (abnormal in PD dementia)",STN/basal ganglia pathological beta (13-30 Hz) hypersynchrony → motor suppression; dopaminergic denervation → circuit-wide oscillation disruption; L temporal theta → cognitive overlay,DBS STN 130 Hz or GPi; TMS 10-25 Hz M1/SMA; iTBS L-DLPFC for depression; TPS 0.25 mJ/mm² M1+SMA+DLPFC; tDCS anode M1; tACS 4 Hz theta motor areas; PBM 810 nm motor cortex; PEMF motor cortex,"STN (DBS), GPi (DBS), M1 (C3/C4), SMA (Cz/FCz), L-DLPFC (F3)",DBS STN disrupts pathological beta hypersynchrony → ↓ motor suppression; high-freq TMS M1 enhances corticospinal excitability; DLPFC iTBS addresses comorbid depression,Reviewed
QCM-004,COND-008,Chronic Pain,"Persistent pain (>3 months), hyperalgesia, allodynia, fatigue, sleep disturbance, mood changes, catastrophizing, functional impairment","↑ theta (all regions), ↑ alpha (resting), ↓ alpha peak frequency (parieto-occipital), ↑ frontal beta (cortical hyperexcitability), thalamocortical dysrhythmia pattern, ↓ EO/EC reactivity, ↑ delta in migraine","Cz, C3, C4 (central theta/alpha), Pz, P3, P4 (parietal alpha slowing), F3, Fp1 (frontal reactivity), T3/T4 (temporal changes)","S1 (somatosensory cortex), M1, ACC, anterior insula, thalamus, PFC, periaqueductal gray (PAG), amygdala","Pain matrix/Salience (hyperactive — ACC, insula, S1, thalamus), DMN (disrupted in chronic pain), Descending pain modulatory network (impaired), CEN (altered)",Thalamocortical dysrhythmia → abnormal theta burst from thalamus → ↑ pain perception; ACC/insula hyperactivity → amplified nociceptive processing; descending PAG modulation impaired,tDCS anode M1 (C3/C4) cathode Fp2; TMS 10 Hz M1 contralateral; CES Alpha-Stim; taVNS 100 Hz; DBS thalamus/PAG; LIFU thalamus/ACC; PBM 810 nm; PEMF,"M1 contralateral (C3/C4), thalamus, ACC, PAG",M1 excitation activates descending pain modulatory pathways via corticothalamic feedback; VNS engages anti-nociceptive brainstem pathways; thalamic targets normalize dysrhythmia,Reviewed
QCM-005,COND-004,OCD,"Intrusive obsessive thoughts, compulsive repetitive behaviors, anxiety, avoidance, cognitive rigidity, excessive checking/washing/counting, distress","↑ delta + theta (frontal), ↓ frontal/central alpha, excess frontal beta (some), ↑ theta/beta ratio, ↑ fronto-central coherence, excess error-related negativity (ERN) at FCz, abnormal P300","Fz, FCz (frontal midline theta, ERN), F3/F4 (frontal delta/theta), Cz (central changes), C3/C4","ACC (hyperactive), OFC (hyperactive), caudate nucleus, DLPFC, ventral striatum, SMA, thalamus, mPFC","CSTC loop (cortico-striato-thalamo-cortical — hyperactive), DMN (↑ entropy, hyperconnected), CEN (↑ entropy), DAN/Dorsal attention (↓ entropy), Salience (impaired switching — SN↔CEN and SN↔DMN altered)",CSTC hyperdrive → compulsive repetition; hyperactive OFC/ACC generates persistent 'error signal' → cannot inhibit compulsions; SN switching failure → unable to disengage OCD loop,Deep TMS H7 coil mPFC/ACC 20 Hz; TMS 1 Hz R-DLPFC (inhibitory); DBS VC/VS or STN; tDCS cathode OFC; LIFU caudate/ACC,"mPFC/ACC (deep TMS H7), R-DLPFC (1 Hz), VC/VS (DBS), OFC (tDCS cathodal), caudate (LIFU)",mPFC/ACC deep TMS disrupts hyperactive CSTC drive; R-DLPFC inhibition to ↓ right hemisphere anxiety-related overactivity; DBS VC/VS modulates reward/compulsion circuitry,Reviewed
QCM-006,COND-003,Anxiety / GAD,"Excessive worry, restlessness, muscle tension, fatigue, difficulty concentrating, irritability, sleep disturbance, somatic symptoms (GI, cardiovascular)","↑ R frontal alpha (frontal asymmetry R>L activity = withdrawal bias), ↑ high beta 20-30 Hz globally, ↑ frontal theta (some), ↓ posterior alpha, ↑ gamma coherence (some), hyper-arousal EEG pattern","F3/F4 (frontal asymmetry), Fz (frontal theta), Cz (central beta excess), Pz (posterior alpha ↓), C3/C4 (beta excess)","Amygdala (hyperactive), mPFC/vmPFC (impaired regulation), DLPFC (R>L), ACC, insula, hippocampus","Salience network (hyperactive), DMN (rumination component), CEN (underactive — poor top-down regulation), Amygdala-PFC circuit (impaired top-down control)",Amygdala hyperactivity overrides vmPFC/PFC top-down regulation; SN hypersensitivity to threat → persistent arousal; CEN underactivation → cannot dampen worry loops,CES Alpha-Stim 0.5 Hz; taVNS 25 Hz left ear; TMS R-DLPFC 1 Hz inhibitory or L-DLPFC excitatory; tDCS anode L-DLPFC; tACS alpha 10 Hz,L-DLPFC (F3) — excitatory; R-DLPFC (F4) — inhibitory; amygdala (indirect via PFC),L-DLPFC excitation shifts frontal asymmetry toward approach/regulation; R-DLPFC inhibition ↓ R-hemisphere hyperactivity; CES/taVNS activates parasympathetic via vagal pathway → anxiety ↓,Reviewed
QCM-007,COND-005,PTSD,"Flashbacks, nightmares, hypervigilance, exaggerated startle, avoidance, emotional numbing, dissociation, anger/irritability, sleep disturbance, concentration problems",Frontal alpha asymmetry (↑ L frontal activity = approach/anger bias); ↑ high beta (hyperarousal); ↓ posterior alpha; ↑ R parietal beta; ↓ total EEG power (RMS); ↓ alpha coherence; altered theta power,"F3/F4 (frontal asymmetry), FC3/FC4 (fronto-central), P3/P4 (R parietal beta), Cz (beta excess), O1/O2 (↓ alpha)","Amygdala (hyperactive), vmPFC (hypoactive — impaired fear extinction), hippocampus (↓ volume), ACC (anterior — hypoactive), insula, locus coeruleus","Salience (hyperactive — threat detection), DMN (fragmented — dissociation, impaired self-referential), CEN (impaired — poor executive control), Fear/threat circuit (amygdala-ACC-hippocampus dysregulated)",Amygdala hyperactivity + vmPFC hypoactivity → fear extinction failure; SN hypersensitivity to threat cues → hypervigilance; fragmented DMN → dissociation and impaired trauma memory consolidation,TMS 20 Hz R-DLPFC; CES Alpha-Stim 60 min/day; taVNS; tDCS anode L-DLPFC; neurofeedback alpha-theta protocol,R-DLPFC (F4) — excitatory; L-DLPFC (F3); vmPFC (indirect via DLPFC),R-DLPFC excitation may improve emotional regulation and extinction learning; alpha-theta NFB facilitates trauma reprocessing via thalamocortical relaxation; CES/VNS activates parasympathetic to ↓ hyperarousal,Reviewed
QCM-008,COND-006,Insomnia,"Difficulty falling/staying asleep, early awakening, non-restorative sleep, daytime fatigue, impaired concentration, irritability, anxiety about sleep",↑ high-frequency beta (hyperarousal); ↑ gamma; ↓ delta during sleep; ↑ alpha intrusion in NREM; ↓ sleep spindles (sigma 12-15 Hz); ↑ theta/alpha ratio at sleep onset; cortical hyperarousal markers,"Fz, F3/F4 (frontal beta excess), Cz (central hyperarousal), Pz (alpha intrusion), C3/C4 (↓ sleep spindles)","DLPFC (hyperactive at night), hypothalamus (SCN/VLPO), thalamus (reticular nucleus — spindle generation), ACC, brainstem arousal centers","ARAS/Ascending reticular activating system (hyperactive), Thalamocortical circuits (↓ spindle generation), DMN (fails to deactivate), Sleep-wake regulatory network (dysregulated)",ARAS hyperactivity → cortical hyperarousal → cannot transition to NREM; thalamic reticular nucleus dysfunction → ↓ sleep spindles → poor sleep consolidation; DLPFC remains engaged instead of deactivating,CES 0.5 Hz Alpha-Stim pre-sleep; tACS 77.5 Hz (Nexalin) or slow-wave tACS; taVNS 25 Hz pre-sleep; TMS 1 Hz R-DLPFC; neurofeedback SMR (12-15 Hz),"DLPFC (R, inhibitory — 1 Hz), thalamic circuits (tACS), brainstem/vagal (taVNS, CES)",R-DLPFC inhibition ↓ cognitive hyperarousal; slow-wave tACS promotes SWS architecture; CES/taVNS → parasympathetic activation → ↓ cortisol/ARAS; SMR NFB trains sleep spindle generation,Reviewed
QCM-009,COND-013,Epilepsy,"Recurrent seizures (focal/generalized), aura, loss of consciousness, tonic-clonic movements, absence spells, post-ictal confusion, cognitive impairment, memory problems","Epileptiform discharges (spikes, sharp waves, spike-wave complexes); focal/generalized slowing; ↑ delta/theta at seizure focus; interictal epileptiform activity; high-frequency oscillations (80-500 Hz ripples); ↑ coherence at focus; asymmetric alpha","Variable by focus — temporal (T3/T4/T5/T6), frontal (F3/F4/F7/F8), central (C3/C4), parietal (P3/P4); Cz for generalized","Seizure focus (temporal lobe most common), hippocampus, amygdala, thalamus (ANT), cortex at focus, corpus callosum (spread)","Epileptogenic network (hyperexcitable focus + propagation pathways), Thalamocortical circuits (generalized seizures), DMN (disrupted in TLE), Language network (if dominant temporal)",Focal hyperexcitable node → seizure propagation via thalamocortical relay; ANT thalamus amplifies cortical hyperexcitability; corpus callosum enables bilateral spread in generalized epilepsy,taVNS 25 Hz left ear; DBS ANT thalamus 145 Hz; VNS (implanted); TMS 1 Hz inhibitory over focus; tDCS cathodal over focus; PEMF low-intensity; LIFU seizure focus,"ANT thalamus (DBS), seizure focus (cathodal tDCS/TMS 1 Hz), left ear (taVNS)",ANT DBS disrupts thalamocortical seizure loops; cathodal/inhibitory stimulation over focus ↓ cortical excitability; VNS/taVNS activates anti-epileptic NTS-brainstem pathways,Reviewed
QCM-010,COND-011,Stroke Rehabilitation,"Hemiparesis/hemiplegia, aphasia, dysphagia, neglect, spasticity, cognitive impairment, depression, sensory loss, balance problems",↑ delta/theta in affected hemisphere; ↓ alpha/beta in affected hemisphere; ↑ DAR (delta-alpha ratio >3.7 = dysfunction); hemispheric asymmetry (BSI); ↓ beta in affected M1; frontal asymmetry; alpha asymmetry correlates with motor recovery,"C3/C4 (motor cortex asymmetry), F3/F4 (frontal DAR), T7/T8 (temporal asymmetry), Cz, P3/P4","Perilesional cortex, M1 ipsilesional (hypoactive), contralesional M1 (may be hyperactive), Broca's/Wernicke's (if aphasia), parietal cortex (if neglect), thalamus","Sensorimotor (disrupted interhemispheric balance), Language network (if L hemisphere), Attention network (if R hemisphere — neglect), Corticospinal tract",Contralesional M1 hyperactivity inhibits ipsilesional M1 via transcallosal inhibition → worsens motor deficit; interhemispheric imbalance (BSI > 0.1 = poor prognosis),TMS 1 Hz contralesional M1 (inhibit) or high-freq ipsilesional; tDCS anode ipsilesional M1; taVNS + rehab exercises; PEMF 1 Hz contralateral; PBM 808 nm,"Ipsilesional M1 (excitatory), contralesional M1 (inhibitory 1 Hz), Broca's area (aphasia)",Inhibit contralesional M1 to release transcallosal inhibition on ipsilesional M1; dual-site tDCS restores interhemispheric balance; taVNS + motor training → enhanced plasticity via ACh/NE release,Reviewed
