Assessment_ID,Assessment_Name,Assessment_Type,Domain,Use_Case,Population,Link_URL,License_or_Access_Notes,Scoring_Type,Clinician_vs_Patient,Related_Conditions,Related_Phenotypes,Notes,Review_Status
ASS-001,PHQ-9 (Patient Health Questionnaire-9),Symptom scale / Screening,Depression,Baseline and outcome tracking for depression protocols,Adult,https://www.apa.org/depression-guideline/patient-health-questionnaire.pdf,Free — no permission required,Likert 0-3; Total 0-27,Patient self-report,MDD; TRD; Postpartum depression,PHE-001; PHE-002; PHE-003; PHE-023,Universal baseline for TMS/neurofeedback depression. Cutoff ≥10 for moderate.,Reviewed
ASS-002,BDI-II (Beck Depression Inventory-II),Symptom scale,Depression,Research outcome measure for depression protocols,Adult/Adolescent,https://www.pearsonassessments.com/store/en/usd/p/100000159.html,Copyrighted — purchase required (Pearson),4 statements per item; Total 0-63,Patient self-report,MDD; Bipolar depression,PHE-001; PHE-002; PHE-003,Cognitive/affective/somatic subscales. More sensitive to cognitive features than PHQ-9.,Reviewed
ASS-003,HAM-D / HDRS-17 (Hamilton Depression Rating Scale),Symptom scale,Depression,Gold standard clinician-rated outcome for TMS trials,Adult,https://integrationacademy.ahrq.gov/sites/default/files/2020-07/HDRS.pdf,Public domain — freely reproducible,Clinician-rated 0-52 (17-item),Clinician-rated,MDD; TRD,PHE-001; PHE-002,Used in FDA clearance trials. Less practical for routine clinical use than PHQ-9.,Reviewed
ASS-004,MADRS (Montgomery-Åsberg Depression Rating Scale),Symptom scale,Depression,Change-sensitive clinician-rated depression outcome,Adult,https://www.apa.org/depression-guideline/montgomery-asberg-scale.pdf,Free for clinical/research use; commercial adaptation requires permission,10 items scored 0-6; Total 0-60,Clinician-rated (MADRS-S self-report available),MDD; Bipolar depression,PHE-001; PHE-003,Superior sensitivity to change during neuromodulation. Preferred in European TMS trials.,Reviewed
ASS-005,QIDS-SR16 (Quick Inventory of Depressive Symptomatology),Symptom scale,Depression,Brief self-report tracking between sessions,Adult,http://ids-qids.org,Free — public domain,16 items; Total 0-27,Patient self-report (QIDS-C clinician version available),MDD; TRD,PHE-001; PHE-002; PHE-003,Used in STAR*D trial. Covers all DSM-5 MDD symptom domains.,Reviewed
ASS-006,GAD-7 (Generalized Anxiety Disorder 7-Item),Screening / Symptom scale,Anxiety,Baseline and outcome tracking for anxiety,Adult,https://adaa.org/sites/default/files/GAD-7_Anxiety-updated_0.pdf,Free — no permission required,Likert 0-3; Total 0-21,Patient self-report,GAD; Panic; Social anxiety; PTSD screen,PHE-004; PHE-008; PHE-023,Paired with PHQ-9 as universal neuromodulation baseline.,Reviewed
ASS-007,BAI (Beck Anxiety Inventory),Symptom scale,Anxiety,Discriminate anxiety from depression in research,Adult,https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Personality-&-Biopsychosocial/Beck-Anxiety-Inventory/p/100000251,Copyrighted — purchase required (Pearson),Likert 0-3; Total 0-63,Patient self-report,Anxiety disorders; Panic; Somatic anxiety,PHE-004,Discriminates between anxiety and depression when both present.,Reviewed
ASS-008,HAM-A (Hamilton Anxiety Rating Scale),Symptom scale,Anxiety,Clinician-rated anxiety outcome for TMS trials,Adult,https://dcf.psychiatry.ufl.edu/files/2011/05/HAMILTON-ANXIETY.pdf,Public domain — freely reproducible,14 items scored 0-4; Total 0-56,Clinician-rated,GAD; Anxiety in depression context,PHE-004; PHE-023,Psychic subscale relevant for neurofeedback frontal alpha protocols.,Reviewed
ASS-009,STAI (State-Trait Anxiety Inventory),Symptom scale,Anxiety,Distinguish state vs trait anxiety in treatment,Adult,https://www.mindgarden.com/145-state-trait-anxiety-inventory-for-adults,Copyrighted — purchase required (Mind Garden),Two 20-item subscales; Scores 20-80 each,Patient self-report,Anxiety disorders; Procedural anxiety,PHE-004; PHE-023,State subscale useful for pre/post individual session assessment.,Reviewed
ASS-010,ASRS v1.1 (Adult ADHD Self-Report Scale),Screening / Symptom scale,ADHD,ADHD screening and outcome tracking in adults,Adult,https://www.hcp.med.harvard.edu/ncs/asrs.php,Free — WHO/Harvard; no permission required,18 items; Inattention + Hyperactivity subscales,Patient self-report,ADHD (all presentations),PHE-009; PHE-010,Part A (6 items) for quick repeated screening.,Reviewed
