Condition_ID,Condition_Name,Category,Symptom_Clusters,Common_Phenotypes,Severity_Levels,Population,Core_Assessments,Contraindication_Alerts,Relevant_Modalities,Highest_Evidence_Level,Notes,Review_Status
CON-001,Major Depressive Disorder (MDD),Psychiatric — Mood,Depressed mood; anhedonia; sleep disturbance; fatigue; cognitive impairment; appetite changes; suicidal ideation,Left frontal hypoactivity; rumination-dominant; anhedonic; anxious-depressive; melancholic; atypical,Mild; Moderate; Severe; Treatment-resistant (≥2 adequate trials),Adult; Adolescent (limited),PHQ-9; HAM-D; MADRS; QIDS; GAD-7 (comorbid anxiety); ISI (sleep); suicide risk screening,Seizure history; implants; bipolar screen required; active suicidal ideation with plan,"rTMS; iTBS; tDCS; CES; taVNS; VNS (implanted, TRD); Neurofeedback","Guideline-supported (rTMS, iTBS)",Strongest evidence for rTMS/iTBS targeting L-DLPFC. tDCS literature-supported. CES emerging for primary MDD. VNS PMA-approved for TRD with ≥4 Rx failures.,Reviewed
CON-002,Treatment-Resistant Depression (TRD),Psychiatric — Mood,Persistent depressive symptoms despite ≥2 adequate antidepressant trials; functional impairment; chronic course,Severe anhedonic; chronic course; mixed anxiety-depression; melancholic-TRD,Moderate-severe; based on number of failed treatments,Adult,PHQ-9; HAM-D; MADRS; treatment history documentation; suicide risk assessment,All standard TMS contraindications; medication review for seizure threshold; ECT history review,rTMS; iTBS; VNS (implanted); DBS (experimental for TRD),"Guideline-supported (rTMS, iTBS, VNS)",VNS PMA-approved specifically for TRD (≥4 Rx failures). DBS for depression remains experimental/investigational.,Reviewed
CON-003,Obsessive-Compulsive Disorder (OCD),Psychiatric — Anxiety-related,Obsessions (intrusive thoughts); compulsions (repetitive behaviors); distress; functional impairment; avoidance,Contamination/washing; symmetry/ordering; harm/checking; hoarding; pure obsessional,Mild; Moderate; Severe; Treatment-resistant,Adult,Y-BOCS; OCI-R; CGI; GAD-7 (comorbid anxiety); PHQ-9 (comorbid depression),Seizure history; implants; concurrent SSRI review; assess for comorbid tic disorder,Deep TMS (BrainsWay H7); rTMS (SMA/OFC); DBS (HDE — ALIC); tDCS (emerging),Guideline-supported (Deep TMS),BrainsWay H7-coil first De Novo for OCD (2018). DBS Reclaim for severe TRD-OCD under HDE. rTMS SMA protocols literature-supported.,Reviewed
CON-004,Generalized Anxiety Disorder (GAD),Psychiatric — Anxiety,Excessive worry; restlessness; muscle tension; sleep disturbance; fatigue; irritability; difficulty concentrating,High arousal/hypervigilance; somatic anxiety; cognitive worry-dominant; mixed anxiety-depression,Mild; Moderate; Severe,Adult,GAD-7; HAM-A; BAI; PHQ-9 (comorbid depression); ISI (sleep),Standard neuromodulation safety screening; medication interaction review,CES (Alpha-Stim); TMS (emerging); tDCS (emerging); Neurofeedback (emerging); HRV biofeedback,Literature-supported (CES),Alpha-Stim FDA-cleared for anxiety. TMS evidence primarily from comorbid MDD/anxiety populations.,Reviewed
CON-005,ADHD,Neurodevelopmental,Inattention; hyperactivity; impulsivity; executive dysfunction; disorganization; emotional dysregulation,Inattention-dominant; hyperactive-impulsive-dominant; combined; executive dysfunction-dominant; sluggish cognitive tempo,Mild; Moderate; Severe,Pediatric; Adult,ASRS (adult); Conners 4 / CAARS 2; SNAP-IV (pediatric); BRIEF-2; continuous performance tests,"Seizure history; medication review (stimulants); comorbidity screen (anxiety, depression, ASD)",Neurofeedback (NOT supported by blinded outcomes); tDCS (emerging); TMS (emerging),Emerging (all modalities),"CRITICAL: Neurofeedback for ADHD shows no significant effect on probably-blinded outcomes (Cortese 2024 meta-analysis, SMD=0.04). Do not present as established treatment.",Reviewed
CON-006,Insomnia,Sleep,Sleep onset difficulty; sleep maintenance difficulty; early morning awakening; daytime impairment; fatigue,Sleep onset difficulty; maintenance insomnia; hyperarousal; comorbid anxiety-insomnia; comorbid depression-insomnia,Subthreshold; Moderate; Severe,Adult,ISI; PSQI; ESS; Sleep diary; PHQ-9 (comorbid depression); GAD-7 (comorbid anxiety),"Screen for primary sleep disorders (apnea, restless legs); psychiatric comorbidity review",CES (Alpha-Stim); tDCS (emerging); Neurofeedback (emerging); taVNS (emerging),Emerging-Literature-supported (CES),Alpha-Stim FDA-cleared for insomnia. Differentiate primary vs secondary insomnia. CBT-I remains first-line.,Reviewed
CON-007,PTSD,Psychiatric — Trauma,Intrusive memories; flashbacks; avoidance; negative cognition/mood; hyperarousal; dissociation,Hyperarousal-dominant; dissociative; comorbid depression-PTSD; complex PTSD,Mild; Moderate; Severe; Complex PTSD,Adult,PCL-5; CAPS-5; PHQ-9; GAD-7; ISI (sleep); dissociation screening,Active suicidal ideation; dissociative episodes during treatment; seizure risk; trauma-triggering in clinical setting,TMS (literature-supported); Neurofeedback (emerging-literature-supported); tDCS (emerging),Literature-supported (TMS),TMS meta-analyses show large effect sizes for PTSD symptoms. No FDA clearance for PTSD. Neurofeedback shows promise but blinding concerns apply.,Reviewed
CON-008,Chronic Pain / Fibromyalgia,Pain,Widespread pain; fatigue; cognitive difficulties; sleep disturbance; mood symptoms; tenderness,Central sensitization; neuropathic component; fatigue-dominant; cognitive-dominant (fibro fog),Mild; Moderate; Severe,Adult,VAS/NRS (pain); BPI; SF-MPQ-2; PHQ-9; ISI; Fibromyalgia Impact Questionnaire,Medication interactions; opioid use history; psychiatric comorbidity screen,rTMS (M1 stimulation); tDCS (M1/DLPFC); CES (emerging),Literature-supported (rTMS M1; tDCS M1),European IFCN Level B recommendation for rTMS and tDCS in fibromyalgia. No FDA clearance for pain-specific brain stimulation.,Reviewed
CON-009,Migraine,Neurological — Headache,Unilateral pulsating headache; nausea/vomiting; photophobia; phonophobia; aura (in some),Migraine with aura; migraine without aura; chronic migraine; vestibular migraine,Episodic (low/high frequency); Chronic (≥15 days/month),Adult; Adolescent ≥12,Headache diary; MIDAS; HIT-6; PHQ-9 (comorbid depression),Screen for medication overuse headache; cardiovascular risk assessment for triptans,sTMS (eNeura — FDA cleared); gammaCore nVNS (FDA cleared),"Guideline-supported (sTMS, gammaCore)",Both sTMS and gammaCore FDA-cleared for acute and preventive treatment. Home-use devices.,Reviewed
CON-010,Cluster Headache,Neurological — Headache,"Severe unilateral periorbital pain; autonomic features (lacrimation, nasal congestion); restlessness; circadian pattern",Episodic cluster headache; chronic cluster headache,Episodic; Chronic,Adult,Headache diary; attack frequency/duration tracking; CGI,Screen for secondary causes; cardiac screening for gammaCore,gammaCore nVNS (FDA cleared for episodic CH),Guideline-supported (gammaCore for episodic CH),gammaCore FDA cleared for acute and preventive treatment of cluster headache. NOT established for chronic CH.,Reviewed
CON-011,Epilepsy (Drug-Resistant),Neurological,Recurrent seizures despite ≥2 adequate AED trials; focal or generalized seizure types; ictal/postictal symptoms,Partial-onset (focal); generalized; temporal lobe; frontal lobe,Seizure frequency-based; functional impact,Adult; Pediatric ≥4 (VNS),Seizure diary; EEG monitoring; MRI; AED level monitoring; quality of life measures,Pre-surgical evaluation required; psychiatric comorbidity screen; SUDEP risk counseling,VNS (implanted — FDA approved); ANT-DBS (FDA approved); rTMS (experimental for epilepsy),"Guideline-supported (VNS, ANT-DBS)","VNS PMA-approved since 1997. ANT-DBS approved 2018 (SANTE trial). >125,000 VNS implants worldwide.",Reviewed
CON-012,Parkinson's Disease,Neurological — Movement,Bradykinesia; rigidity; resting tremor; postural instability; gait freezing; non-motor symptoms,Tremor-dominant; akinetic-rigid; mixed; with cognitive impairment; young-onset,Hoehn-Yahr staging I-V,Adult,UPDRS; Hoehn-Yahr scale; MoCA (cognition); BDI/PHQ-9 (depression); quality of life measures,Significant dementia (DBS contraindication); active psychiatric illness; anticoagulation for surgery,DBS (STN/GPi — FDA approved); rTMS (literature-supported as adjunct); MRgFUS (tremor),Guideline-supported (DBS),DBS STN/GPi long-established standard of care for advanced PD. Adaptive DBS (BrainSense) FDA approved Feb 2025.,Reviewed
CON-013,Essential Tremor,Neurological — Movement,Action tremor (postural and kinetic); upper extremity predominant; head tremor; voice tremor,Upper extremity dominant; head tremor; voice tremor; early-onset; medication-refractory,Mild; Moderate; Severe (functionally disabling),Adult,Clinical Tremor Rating Scale; Fahn-Tolosa-Marin tremor rating scale; functional disability assessment,Significant brain atrophy (for DBS/FUS); skull geometry (for FUS); cardiac status for surgery,DBS (VIM — FDA approved); MRgFUS thalamotomy (FDA cleared),"Guideline-supported (DBS, MRgFUS)","VIM-DBS approved since 1997. MRgFUS unilateral 2016, bilateral 2023. MRgFUS is lesional (irreversible) vs DBS (adjustable).",Reviewed
CON-014,Dystonia,Neurological — Movement,Sustained or intermittent muscle contractions; abnormal postures; twisting movements,Generalized; segmental; cervical (torticollis); focal; task-specific,Severity per dystonia-specific scales,Adult; Pediatric ≥7 (DBS),Burke-Fahn-Marsden Dystonia Rating Scale; Toronto Western Spasmodic Torticollis Rating Scale,Pre-surgical evaluation; neuroimaging; genetic testing in some cases,DBS (GPi/STN — FDA approved via HDE→PMA),Guideline-supported (DBS),Medtronic DBS: HDE H020007 (2003) → PMA (2025). Primary drug-refractory dystonia.,Reviewed
CON-015,Stroke Rehabilitation,Neurological — Rehabilitation,Motor deficit; spasticity; aphasia; neglect; cognitive impairment; depression post-stroke,Upper limb motor impairment; lower limb/gait impairment; aphasia; cognitive post-stroke; post-stroke depression,Acute (<3 months); Subacute (3-6 months); Chronic (>6 months),Adult,FMA-UE; Barthel Index; modified Rankin Scale; ARAT; NIHSS; MoCA; PHQ-9,Hemorrhagic stroke (timing); seizure history post-stroke; skull defects,rTMS (literature-supported); tDCS (emerging); combined protocols,Literature-supported (rTMS),Best evidence for acute/subacute phase. Inhibitory contralesional or excitatory ipsilesional rTMS. tDCS in combination with rehab.,Reviewed
CON-016,Tinnitus,Neurological — Auditory,Phantom sound perception; distress; sleep disruption; concentration difficulty; emotional impact,Unilateral; bilateral; pulsatile; tonal; noise-like; hyperacusis-comorbid,Mild; Moderate; Severe (per THI/TFI),Adult,THI; TFI; VAS loudness/distress; audiogram; PHQ-9 (comorbid depression); ISI (sleep impact),"Rule out treatable causes (acoustic neuroma, vascular); hearing assessment",rTMS (emerging — short-term effects); Neurofeedback (experimental),Emerging (rTMS),rTMS shows short-term benefit but limited durability at 6 months. Laterality of tinnitus affects response. Overall modest evidence.,Reviewed
CON-017,Cognitive Impairment / TBI,Neurological — Cognitive,Memory impairment; attention deficits; processing speed reduction; executive dysfunction; fatigue,Attention-dominant; memory-dominant; executive dysfunction; processing speed deficit; mixed post-concussive,Mild; Moderate; Severe,Adult,MoCA; Trail Making Test; Digit Span; Stroop; BRIEF-A; PHQ-9; PCL-5 (if trauma-related),Active seizure risk post-TBI; skull defects; metallic implants from surgical repair,rTMS (emerging); tDCS (emerging); Neurofeedback (emerging),Emerging (all modalities),Small studies suggest improvement in attention and processing speed. No RCT-level evidence specifically for TBI cognitive enhancement.,Reviewed
CON-018,Autism Spectrum Disorder (ASD),Neurodevelopmental,Social communication deficits; restricted/repetitive behaviors; sensory sensitivities; executive dysfunction,High-functioning verbal; minimally verbal; sensory-dominant; anxiety-comorbid; ADHD-comorbid,Level 1 (requiring support); Level 2 (substantial support); Level 3 (very substantial support),Pediatric; Adult,"AQ; SRS-2; BRIEF; sensory profile; comorbidity screen (anxiety, ADHD, depression)",Behavioral distress during procedures; informed consent/assent; seizure comorbidity in ASD,TMS (experimental); tDCS (experimental); Neurofeedback (experimental),Experimental (all modalities),"ALL neuromodulation evidence in ASD is from small, often uncontrolled studies. No FDA clearance. No guideline support. Do not generalize to clinical practice.",Reviewed
CON-019,Smoking Cessation,Behavioral / Addiction,Nicotine craving; withdrawal symptoms; habitual behavior patterns; relapse risk,High-craving; stress-triggered; social smoking; heavy/dependent,Nicotine dependence severity (Fagerström),Adult,Fagerström Test for Nicotine Dependence; exhaled CO monitoring; craving VAS,Standard TMS contraindications; psychiatric comorbidity screen,Deep TMS (BrainsWay H4-coil — FDA cleared),Guideline-supported (Deep TMS),BrainsWay first TMS device cleared for any addiction indication (2020). H4-coil targets bilateral insula/PFC.,Reviewed
CON-020,Opioid Withdrawal,Addiction / Pain,Autonomic symptoms; myalgia; insomnia; anxiety; craving; GI symptoms; diaphoresis,Acute withdrawal phase; protracted withdrawal; comorbid pain; comorbid psychiatric,Mild; Moderate; Severe (COWS scale),Adult,COWS (Clinical Opiate Withdrawal Scale); SOWS; VAS craving; psychiatric comorbidity screen,Cardiac arrhythmias; implanted devices; active substance use risk assessment,taVNS (Sparrow Ascent — FDA cleared for opioid withdrawal),Literature-supported (taVNS for withdrawal),Sparrow Ascent FDA-cleared for opioid withdrawal symptom relief. Only cleared taVNS device in US.,Reviewed
CON-021,Alzheimer's Disease / Dementia,Cognitive,,,,,,,,,JS slug: alzheimers-dementia,Unreviewed
CON-022,Mild Cognitive Impairment,Cognitive,,,,,,,,,JS slug: mild-cognitive-impairment,Unreviewed
CON-023,Schizophrenia (Negative Symptoms / AVH),Psychiatric — Psychotic,,,,,,,,,JS slug: schizophrenia-negative,Unreviewed
CON-024,Bipolar Depression,Psychiatric — Mood,,,,,,,,,JS slug: bipolar-depression,Unreviewed
CON-025,Dysthymia / Persistent Depressive Disorder,Psychiatric — Mood,,,,,,,,,JS slug: dysthymia,Unreviewed
CON-026,Postpartum Depression,Psychiatric — Mood,,,,,,,,,JS slug: postpartum-depression,Unreviewed
CON-027,Seasonal Affective Disorder,Psychiatric — Mood,,,,,,,,,JS slug: seasonal-affective-disorder,Unreviewed
CON-028,Social Anxiety Disorder,Psychiatric — Anxiety,,,,,,,,,JS slug: social-anxiety,Unreviewed
CON-029,Panic Disorder,Psychiatric — Anxiety,,,,,,,,,JS slug: panic-disorder,Unreviewed
CON-030,Pediatric ADHD,Neurodevelopmental,,,,,,,,,JS slug: pediatric-adhd,Unreviewed
CON-031,Tics / Tourette Syndrome,Neurodevelopmental,,,,,,,,,JS slug: tics-tourette,Unreviewed
