Rule_ID,Rule_Name,Applies_To,Rule_Logic,User_Role_Required,Export_Allowed,Warning_Text,Notes
GOV-001,Off-label protocol requires clinician role,Protocols where On_Label_vs_Off_Label = 'Off-label',IF Protocol.On_Label_vs_Off_Label = 'Off-label' THEN require User_Role = 'Clinician' for access and activation,Clinician,Clinician export only,This protocol is off-label. Clinician review and authorization required before use.,"Off-label does not mean unsafe, but requires professional judgment and informed consent documentation."
GOV-002,Experimental evidence blocks patient-facing export,Any record where Evidence_Grade = 'Experimental' (EV-D),IF Evidence_Grade = 'EV-D' OR Evidence_Level = 'Experimental' THEN block patient-facing export and display,Clinician or Researcher,No,This content is based on experimental evidence and cannot be shared with patients.,"Applies to protocols, condition summaries, and any auto-generated documents."
GOV-003,Emerging evidence requires clinician gating,Any record where Evidence_Grade = 'Emerging' (EV-C),IF Evidence_Grade = 'EV-C' OR Evidence_Level = 'Emerging' THEN require clinician review before protocol activation or export,Clinician,Clinician review required,This content is based on emerging evidence. Clinician review is required before activation.,Emerging evidence may be shown to clinicians in draft/review mode but not exported to patient materials.
GOV-004,Missing contraindication review blocks protocol export,Protocols table,IF Protocol.Contraindication_Check_Required = 'Yes' AND Contraindication_Review_Completed = FALSE THEN block export,Any,No,Contraindication screening has not been completed. Protocol cannot be activated.,System must track whether contraindication checklist has been completed for each patient-protocol pairing.
GOV-005,Missing source traceability blocks publication,All tables with Source_URL fields,IF Source_URL_Primary IS NULL AND Review_Status != 'Verified' THEN block from publication and auto-generation outputs,Any,No,This record has no verified source. It cannot be included in published outputs.,Records without sources may exist in draft/staging but cannot be surfaced in clinical decision support.
GOV-006,Device regulatory status must match protocol use type,Protocols table linked to Devices table,"IF Protocol.On_Label_vs_Off_Label = 'On-label' AND Device.Regulatory_Status NOT IN ('FDA cleared', 'FDA approved', 'CE-marked') THEN flag mismatch",System,Flag for review,Protocol claims on-label use but linked device does not have confirmed regulatory clearance/approval.,Prevents accidental on-label claims for uncleared devices. Mismatch triggers manual review.
GOV-007,Neurofeedback evidence caution flag,Protocols where Modality = 'Neurofeedback',IF Modality = 'Neurofeedback' THEN display evidence caution note and require condition-specific evidence citation,Any,With caution note,Neurofeedback evidence varies significantly by condition and protocol. Condition-specific evidence review required.,Recent meta-analyses show mixed results when probably-blinded outcomes are assessed. Do not generalize across conditions.
GOV-008,Regulatory language precision enforcement,"Devices table, auto-generated documents","Regulatory_Status field must use exact terms: 'FDA cleared (510(k))', 'FDA approved (PMA)', 'FDA approved (De Novo)', 'CE-marked (MDR)', 'CE-marked (MDD legacy)', 'To verify', 'Not confirmed'. Never use generic 'approved'.",System,N/A,Regulatory status must use precise terminology. 'Cleared' ≠ 'Approved'. 'Registered' ≠ 'Cleared'.,"This rule applies to all auto-generated documents, exports, and patient-facing materials."
GOV-009,Protocol parameter source requirement,Protocols table,"IF any protocol parameter (Frequency, Intensity, Duration, etc.) is populated THEN Source_URL_Primary must reference the source of those parameters",Any,Only if sourced,Protocol parameters must be traceable to published source material.,Do not invent or extrapolate parameters. Use exact values from published studies or guidelines.
GOV-010,Severity escalation gating,Protocols with Escalation_or_Adjustment_Rules,IF Escalation_or_Adjustment_Rules are defined THEN Clinician_Review_Required must = 'Yes' for any escalation step,Clinician,Clinician review required,Dose or parameter escalation requires clinician review at each step.,Automated escalation without clinician oversight is not permitted in current platform version.
GOV-011,Phenotype mapping speculative flag,Symptoms_Phenotypes table,IF Phenotype evidence is not guideline-supported THEN mark as 'Clinician-facing support category — not a validated diagnostic entity',Clinician,With disclaimer,"Phenotype-based suggestions are clinical support tools, not validated diagnostic categories.",Phenotype mappings should aid clinical reasoning but must not be presented as established diagnostic frameworks unless evidence supports this.
GOV-012,Dual-review for high-risk populations,"Protocols where Population includes 'Pediatric', 'Elderly', 'Pregnant'",IF Protocol.Population contains high-risk group THEN require dual clinician review before activation,Senior Clinician,After dual review,This protocol involves a high-risk population. Dual clinician review is required.,"High-risk populations: pediatric (<18), elderly (>65), pregnant, immunocompromised, active seizure disorder."
