asset_id,asset_label,title,extension,bytes,site_id,day_id,participant_id,session_id,asset_role
asset-85ea3c72d7a4,participant-note.docx,Participant note,.docx,13445,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-85ea3c72d7a4,participant_note
asset-dc76142c0620,support.inf,AUTORUN,.inf,36,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-2f92c321f511,recording.eeg,DNEW0000,.eeg,11260688,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,signal_recording
asset-237f183c094d,recording.edf,DNEW0000,.edf,10028976,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,signal_recording
asset-bf909ed05f19,support.cfg,EEGLANG,.cfg,4,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-eed4e296e80b,support.cfg,EEGSETUP,.cfg,20272,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-63a0dadd2add,support.dll,FTD2XX,.dll,81920,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-429860152a5c,support.cfg,LANGUAGE,.cfg,183,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-8ea9c5f80d13,support.cfg,MONTAGEN,.cfg,726992,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-81e557a2e668,support.exe,START,.exe,24576,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-5667e0530c02,support.par,START,.par,20,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-cf3a731afe2a,support.dll,VEEGENG,.dll,384000,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-cdcbf87f0bf1,support.dll,VEEGRUS,.dll,396800,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-4e8227c1a809,support.cfg,VIDEO,.cfg,2130,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-168157941c47,support.exe,VIEWEEG,.exe,3397632,site-199f0cd7,day-43b3f0ea,participant-36847450e7,session-c35ab45ea1f5,support_file
asset-e7a33ccc8498,participant-note.docx,Participant note,.docx,13497,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-e7a33ccc8498,participant_note
asset-6faa99aac8f3,support.inf,AUTORUN,.inf,36,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-7d499d482873,recording.eeg,DNEW0001,.eeg,10146288,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,signal_recording
asset-cf9059541b06,recording.edf,DNEW0001,.edf,9022976,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,signal_recording
asset-fe10d876955e,support.cfg,EEGSETUP,.cfg,20272,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-bfa24b54147d,support.dll,FTD2XX,.dll,81920,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-83fa6f49df8c,support.cfg,LANGUAGE,.cfg,183,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-ae15126700fb,support.exe,START,.exe,24576,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-c9abf58bd717,support.par,START,.par,20,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-278a31f8f0ed,support.dll,VEEGENG,.dll,384000,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-2ca3d5960923,support.dll,VEEGRUS,.dll,396800,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
asset-0c06bb7dc884,support.cfg,VIDEO,.cfg,2130,site-199f0cd7,day-43b3f0ea,participant-da149ab652,session-60492a782be8,support_file
